"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BANKATI","SISWA PANDEY","3153011101/IC/958486255823741153","9302","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=SISWA%20PANDEY&panchayat_code=3153011101&fin_year=2025-2026&source=&work_code=3153011101/IC/958486255823741153&msr_no=9302&AttendanceDate=27/03/2026&Digest=eftaGRaBkOuTirRamth86g",8
"BASTI","BANKATI","CHITRAKHOR","3153011104/IC/958486255823723379","9621","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=CHITRAKHOR&panchayat_code=3153011104&fin_year=2025-2026&source=&work_code=3153011104/IC/958486255823723379&msr_no=9621&AttendanceDate=27/03/2026&Digest=W1NcqF9DHa2xK8U81nIKkg",6
"BASTI","BANKATI","DUBAULI KHURD","3153011109/IC/958486255823741004","9278","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=DUBAULI%20KHURD&panchayat_code=3153011109&fin_year=2025-2026&source=&work_code=3153011109/IC/958486255823741004&msr_no=9278&AttendanceDate=27/03/2026&Digest=XFDcl5MrencRXE+0dZk7wg",6
"BASTI","BANKATI","DUBAULI KHURD","3153011109/RC/958486255823749300","9396","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=DUBAULI%20KHURD&panchayat_code=3153011109&fin_year=2025-2026&source=&work_code=3153011109/RC/958486255823749300&msr_no=9396&AttendanceDate=27/03/2026&Digest=hG0n4YgJ6+qNF2/B8qtWaw",5
"BASTI","BANKATI","CHOLKHARI","3153011110/AV/958486255824182493","9422","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=CHOLKHARI&panchayat_code=3153011110&fin_year=2025-2026&source=&work_code=3153011110/AV/958486255824182493&msr_no=9422&AttendanceDate=27/03/2026&Digest=Xo7g/rB1xodTRu2i/1wCeg",9
"BASTI","BANKATI","CHOLKHARI","3153011110/AV/958486255824182493","9425","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=CHOLKHARI&panchayat_code=3153011110&fin_year=2025-2026&source=&work_code=3153011110/AV/958486255824182493&msr_no=9425&AttendanceDate=27/03/2026&Digest=TubrHrPgtvJnlKhI0pLRCQ",6
"BASTI","BASTI","SONUPAR","3153010082/RC/958486255823726676","4401","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BASTI&block_code=3153010&panchayat_name=SONUPAR&panchayat_code=3153010082&fin_year=2025-2026&source=&work_code=3153010082/RC/958486255823726676&msr_no=4401&AttendanceDate=27/03/2026&Digest=HS8bQJ9BfXFN9RyxEZEkHQ",10
"BASTI","DUBAULIYA","PAKRI CHAUHAAN","3153014006/AV/958486255824187517","4310","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=DUBAULIYA&block_code=3153014&panchayat_name=PAKRI%20CHAUHAAN&panchayat_code=3153014006&fin_year=2025-2026&source=&work_code=3153014006/AV/958486255824187517&msr_no=4310&AttendanceDate=27/03/2026&Digest=6hCQgm0xtKUahEymH5/TFQ",4
"BASTI","DUBAULIYA","GULAWARI","3153014014/RC/958486255823749921","4278","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=DUBAULIYA&block_code=3153014&panchayat_name=GULAWARI&panchayat_code=3153014014&fin_year=2025-2026&source=&work_code=3153014014/RC/958486255823749921&msr_no=4278&AttendanceDate=27/03/2026&Digest=gjTiOn4h6Hy+NNiEcGiFOw",7
"BASTI","BAHADURPUR","BAHADURPUR","3153012007/WC/958486255824193195","9863","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BAHADURPUR&panchayat_code=3153012007&fin_year=2025-2026&source=&work_code=3153012007/WC/958486255824193195&msr_no=9863&AttendanceDate=27/03/2026&Digest=heijouZ9QdOMf/OKVv3cig",9
